#,Date,Rank,Actor,N-Match, N-Rating,N-Bad,H-Match,H-Rating,H-Bad,K-Match,K-Rating,K-Bad,Moves,Players,NAGA Report,Paifu,,Last 10 ,Last 10 ,Last 10 ,Last 20,Last 20,Last 20,Last 50,Last 50,Last 50,Last 100,Last 100,Last 100,Last 200,Last 200,Last 200,,,,,,,,,,,,,
31,4/19,1,2,72.816,84.809,6.796,71.845,83.248,10.680,69.903,83.231,7.767,103,ⓝLuckyJ(+44.2)いとおやじ92(+9.6)のぶ１７５１(-14.9)Ο(-38.9),https://naga.dmv.nico/htmls/04d47849b81c37c3a58c0c664fb52b2eef4c645b12ac81bdf57dd66b9e909a53v2_2.html?tw=2,https://tenhou.net/4/?log=2023042009gm-0009-0000-3e6354b7&tw=2,,72.67,84.48,8.81,72.35,85.05,8.26,,,,,,,,,,,,,,,,,,,,,,
32,4/19,3,2,79.439,87.971,6.542,76.636,86.289,6.542,74.766,84.574,9.346,107,0610(+48.1)jun6696(+13.5)ⓝLuckyJ(-17.1)わびわび(-44.5),https://naga.dmv.nico/htmls/a201257b7589d7121ec37ab94e62b44f9431a34bc0501657e51ac9d9c16a6957v2_2.html?tw=2,https://tenhou.net/4/?log=2023042010gm-0009-0000-aa278fc2&tw=2,,72.83,84.77,8.20,72.39,84.97,8.27,,,,,,,,,,,,,,,,,,,,,,
33,4/19,1,3,69.663,84.306,8.989,74.157,88.452,7.865,67.416,83.167,12.360,89,ⓝLuckyJ(+61.3)jun6696(-0.6)餅ちゃん(-22.0)xxxb(-38.7),https://naga.dmv.nico/htmls/845d95d8c25c7434c910e39d9bbd1fb80eee354ffc1198172554336b40123961v2_2.html?tw=3,https://tenhou.net/4/?log=2023042010gm-0009-0000-9ff1b8f2&tw=3,,72.97,85.10,7.96,72.21,84.85,8.39,,,,,,,,,,,,,,,,,,,,,,
34,4/19,3,3,72.340,84.613,4.255,70.213,81.203,8.511,65.957,79.601,10.638,47,満貫猿(+55.0)SHOTA-IG(+22.7)ⓝLuckyJ(-16.6)ukukhide(-61.1),https://naga.dmv.nico/htmls/7f1d40e70daf7f849f2b7dde17804723cde4fbe40e3ff5b95b8d98810e2bfdc6v2_2.html?tw=3,https://tenhou.net/4/?log=2023042011gm-0009-0000-31331971&tw=3,,73.22,85.21,7.35,72.28,84.89,8.07,,,,,,,,,,,,,,,,,,,,,,
35,4/19,3,3,86.076,91.311,6.329,87.342,92.438,6.329,86.076,92.160,5.063,79,神様最高(+47.6)迩冬(+13.5)ⓝLuckyJ(-7.8)ハニワOcO(-53.3),https://naga.dmv.nico/htmls/73e9c55ae281d02220d306a6611022d8d3aee64d0043e3ca37f2e2e4244c92e3v2_2.html?tw=3,https://tenhou.net/4/?log=2023042011gm-0009-0000-810729ef&tw=3,,74.18,85.70,7.25,72.52,85.09,8.13,,,,,,,,,,,,,,,,,,,,,,
36,4/19,1,3,79.630,89.847,10.185,75.000,85.979,10.185,74.074,86.633,10.185,108,ⓝLuckyJ(+45.0)いわき太郎(+11.5)三匹の子豚(-8.7)ライトエース(-47.8),https://naga.dmv.nico/htmls/ea6772f8f2173974174a5f038421a403d9c619695fb7058f4ed81c67382845c1v2_2.html?tw=3,https://tenhou.net/4/?log=2023042011gm-0009-0000-de8dcb25&tw=3,,75.31,86.39,7.75,73.09,85.25,8.28,,,,,,,,,,,,,,,,,,,,,,
37,4/19,3,1,84.000,90.910,5.600,84.800,92.095,4.000,85.600,91.099,7.200,125,ユッケ召し上がれ(+59.1)NoName(+13.2)ⓝLuckyJ(-29.1)hogemayj(-43.2),https://naga.dmv.nico/htmls/0a710ef2277ce3a232d38130d7b3b26e8340aba8cad28122ec49d76e6ea7f1d0v2_2.html?tw=1,https://tenhou.net/4/?log=2023042012gm-0009-0000-b1c9317d&tw=1,,76.09,86.92,7.67,74.06,85.56,8.15,,,,,,,,,,,,,,,,,,,,,,
38,4/19,1,1,83.571,91.763,5.714,80.000,90.078,6.429,85.714,91.321,8.571,140,ⓝLuckyJ(+56.6)str(+12.1)お便便(-19.8)縁の下の力持ち(-48.9),https://naga.dmv.nico/htmls/2ec5f4e20661b5d1e6cd30f66054dfeff031cc5e49011d77108587b015652be3v2_2.html?tw=1,https://tenhou.net/4/?log=2023042012gm-0009-0000-b873132a&tw=1,,76.24,87.17,7.56,74.81,85.94,8.12,,,,,,,,,,,,,,,,,,,,,,
39,4/20,3,0,70.536,83.795,9.821,71.429,88.190,7.143,65.179,82.995,8.929,112,ichee(+53.1)塩の町(+10.5)ⓝLuckyJ(-12.8)NoName(-50.8),https://naga.dmv.nico/htmls/9e2001d3e2f6b18866e2f4fe868f6e5aa03523a6f571351e4fbab53e4e042befv2_2.html?tw=0,https://tenhou.net/4/?log=2023042013gm-0009-0000-cfc0381f&tw=0,,76.38,87.21,7.54,74.71,85.93,8.14,,,,,,,,,,,,,,,,,,,,,,
40,4/20,2,1,77.778,86.453,8.889,74.444,85.002,10.000,81.111,87.223,8.889,90,ichee(+59.3)ⓝLuckyJ(+5.2)しまず(-25.0)規格外品(-39.5),https://naga.dmv.nico/htmls/75b2fb586df0e4d111d9701214339745ee2a00123f794d7ca204e49140e0257ev2_2.html?tw=1,https://tenhou.net/4/?log=2023042013gm-0009-0000-700a7bc5&tw=1,,77.58,87.58,7.31,75.46,86.22,8.00,,,,,,,,,,,,,,,,,,,,,,
